RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_FIX_DURATION	CURRENT_FIX_END	CURRENT_FIX_INTEREST_AREA_DWELL_TIME	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_INTEREST_AREA_LABEL	CURRENT_FIX_START	DATA_FILE	ACCURACY	KEY_PRESSED	LADO	Session_Name_	Trial_Index_	Trial_Recycled_	col16	correctkey	image1	image2	image3	image4	image5	image6	image7	image8	image9	left_stimuli	lorr	right_stimuli	trial
P3_C5050_S2_O2	1	231	3288	231	3	Target_Area	3058	P3_C5050_S2_O2.edf	1	4	1	p35050	1	False	UNDEFINEDnull	4	35.png	39.png	zero2.png	50.png	zero2.png	5.png	zero2.png	41.png	19.png	50.png	L	43.png	1
P3_C5050_S2_O2	1	329	3672	730	1	LeftSample	3344	P3_C5050_S2_O2.edf	1	4	1	p35050	1	False	UNDEFINEDnull	4	35.png	39.png	zero2.png	50.png	zero2.png	5.png	zero2.png	41.png	19.png	50.png	L	43.png	1
P3_C5050_S2_O2	1	109	3799	730	1	LeftSample	3691	P3_C5050_S2_O2.edf	1	4	1	p35050	1	False	UNDEFINEDnull	4	35.png	39.png	zero2.png	50.png	zero2.png	5.png	zero2.png	41.png	19.png	50.png	L	43.png	1
P3_C5050_S2_O2	1	292	4110	730	1	LeftSample	3818	P3_C5050_S2_O2.edf	1	4	1	p35050	1	False	UNDEFINEDnull	4	35.png	39.png	zero2.png	50.png	zero2.png	5.png	zero2.png	41.png	19.png	50.png	L	43.png	1
P3_C5050_S2_O2	2	145	3200	145	3	Target_Area	3056	P3_C5050_S2_O2.edf	1	9	1	p35050	2	False	UNDEFINEDnull	9	zero2.png	26.png	7.png	3.png	zero2.png	38.png	50.png	zero2.png	31.png	31.png	L	19.png	2
P3_C5050_S2_O2	2	169	3424	2206	2	Right_Sample	3256	P3_C5050_S2_O2.edf	1	9	1	p35050	2	False	UNDEFINEDnull	9	zero2.png	26.png	7.png	3.png	zero2.png	38.png	50.png	zero2.png	31.png	31.png	L	19.png	2
P3_C5050_S2_O2	2	304	3748	2206	2	Right_Sample	3445	P3_C5050_S2_O2.edf	1	9	1	p35050	2	False	UNDEFINEDnull	9	zero2.png	26.png	7.png	3.png	zero2.png	38.png	50.png	zero2.png	31.png	31.png	L	19.png	2
P3_C5050_S2_O2	2	197	3962	2206	2	Right_Sample	3766	P3_C5050_S2_O2.edf	1	9	1	p35050	2	False	UNDEFINEDnull	9	zero2.png	26.png	7.png	3.png	zero2.png	38.png	50.png	zero2.png	31.png	31.png	L	19.png	2
P3_C5050_S2_O2	2	269	4255	2206	2	Right_Sample	3987	P3_C5050_S2_O2.edf	1	9	1	p35050	2	False	UNDEFINEDnull	9	zero2.png	26.png	7.png	3.png	zero2.png	38.png	50.png	zero2.png	31.png	31.png	L	19.png	2
P3_C5050_S2_O2	2	420	4689	2206	2	Right_Sample	4270	P3_C5050_S2_O2.edf	1	9	1	p35050	2	False	UNDEFINEDnull	9	zero2.png	26.png	7.png	3.png	zero2.png	38.png	50.png	zero2.png	31.png	31.png	L	19.png	2
P3_C5050_S2_O2	2	239	4949	2206	2	Right_Sample	4711	P3_C5050_S2_O2.edf	1	9	1	p35050	2	False	UNDEFINEDnull	9	zero2.png	26.png	7.png	3.png	zero2.png	38.png	50.png	zero2.png	31.png	31.png	L	19.png	2
