RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_SAC_END_INTEREST_AREAS	CURRENT_SAC_END_INTEREST_AREA_ID	CURRENT_SAC_END_INTEREST_AREA_LABEL	CURRENT_SAC_START_INTEREST_AREAS	CURRENT_SAC_START_INTEREST_AREA_ID	CURRENT_SAC_START_INTEREST_AREA_LABEL	CURRENT_SAC_START_TIME	TRIAL_START_TIME	ACCURACY	KEY_PRESSED	LADO	Session_Name_	Trial_Index_	Trial_Recycled_	col16	correctkey	image1	image2	image3	image4	image5	image6	image7	image8	image9	left_stimuli	lorr	right_stimuli	trial
P1_C2575_S2_O4	1	[ 3]	3	Target_Area	[ 3]	3	Target_Area	3545	3436682	0	4	1	P1	1	False	R	8	zero2.png	29.png	zero2.png	46.png	47.png	41.png	zero2.png	3.png	1.png	30.png	UNDEFINED	3.png	1
P1_C2575_S2_O4	1	[ 3]	3	Target_Area	[ 3]	3	Target_Area	4696	3436682	0	4	1	P1	1	False	R	8	zero2.png	29.png	zero2.png	46.png	47.png	41.png	zero2.png	3.png	1.png	30.png	UNDEFINED	3.png	1
P1_C2575_S2_O4	1	[ 3]	3	Target_Area	[ 3]	3	Target_Area	4994	3436682	0	4	1	P1	1	False	R	8	zero2.png	29.png	zero2.png	46.png	47.png	41.png	zero2.png	3.png	1.png	30.png	UNDEFINED	3.png	1
P1_C2575_S2_O4	1	[ 3]	3	Target_Area	[ 3]	3	Target_Area	5118	3436682	0	4	1	P1	1	False	R	8	zero2.png	29.png	zero2.png	46.png	47.png	41.png	zero2.png	3.png	1.png	30.png	UNDEFINED	3.png	1
P1_C2575_S2_O4	1	[ 1]	1	LeftSample	[ 3]	3	Target_Area	5366	3436682	0	4	1	P1	1	False	R	8	zero2.png	29.png	zero2.png	46.png	47.png	41.png	zero2.png	3.png	1.png	30.png	UNDEFINED	3.png	1
P1_C2575_S2_O4	1	[ 1]	1	LeftSample	[ 1]	1	LeftSample	5480	3436682	0	4	1	P1	1	False	R	8	zero2.png	29.png	zero2.png	46.png	47.png	41.png	zero2.png	3.png	1.png	30.png	UNDEFINED	3.png	1
P1_C2575_S2_O4	1	[ 1]	1	LeftSample	[ 1]	1	LeftSample	5542	3436682	0	4	1	P1	1	False	R	8	zero2.png	29.png	zero2.png	46.png	47.png	41.png	zero2.png	3.png	1.png	30.png	UNDEFINED	3.png	1
P1_C2575_S2_O4	1	[ 1]	1	LeftSample	[ 1]	1	LeftSample	5871	3436682	0	4	1	P1	1	False	R	8	zero2.png	29.png	zero2.png	46.png	47.png	41.png	zero2.png	3.png	1.png	30.png	UNDEFINED	3.png	1
P1_C2575_S2_O4	2	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3372	3452825	0	7	1	P1	2	False	R	1	43.png	33.png	38.png	zero2.png	6.png	zero2.png	21.png	zero2.png	1.png	20.png	UNDEFINED	43.png	2
P1_C2575_S2_O4	2	[ 1]	1	LeftSample	[ 1]	1	LeftSample	3451	3452825	0	7	1	P1	2	False	R	1	43.png	33.png	38.png	zero2.png	6.png	zero2.png	21.png	zero2.png	1.png	20.png	UNDEFINED	43.png	2
