Participant,Condition,Session,Total_Trials,Total_Side1,Total_Side2,Runs_Side1,Runs_Side2,Mean_Run_Length_1,Mean_Run_Length_2,Lambda_1,Lambda_2,Observed_Prop_1,Predicted_Prop_1,Difference
1,1090,1,120,15,105,7,7,2.142857142857143,15.0,0.4666666666666667,0.06666666666666667,0.125,0.125,0.0
1,1090,2,120,53,67,12,13,4.416666666666667,5.153846153846154,0.22641509433962262,0.19402985074626863,0.44166666666666665,0.4614869390488948,0.019820272382228166
1,2575,1,120,71,49,24,23,2.9583333333333335,2.130434782608696,0.3380281690140845,0.4693877551020408,0.5916666666666667,0.5813456746173015,0.010320992049365207
1,2575,2,120,67,53,26,25,2.576923076923077,2.12,0.38805970149253727,0.4716981132075471,0.5583333333333333,0.5486406812970849,0.009692652036248472
1,5050,1,120,50,70,12,11,4.166666666666667,6.363636363636363,0.24,0.15714285714285714,0.4166666666666667,0.39568345323741005,0.02098321342925663
1,5050,2,120,101,19,11,10,9.181818181818182,1.9,0.10891089108910891,0.5263157894736842,0.8416666666666667,0.8285479901558654,0.01311867651080123
1,7525,1,120,86,34,27,27,3.185185185185185,1.2592592592592593,0.313953488372093,0.7941176470588235,0.7166666666666667,0.7166666666666667,0.0
1,7525,2,120,87,33,25,24,3.48,1.375,0.28735632183908044,0.7272727272727273,0.725,0.7167868177136972,0.008213182286302745
1,9010,2,120,107,13,10,9,10.7,1.4444444444444444,0.09345794392523366,0.6923076923076923,0.8916666666666667,0.8810612991765782,0.010605367490088558
2,1090,1,120,53,67,3,3,17.666666666666668,22.333333333333332,0.056603773584905655,0.04477611940298508,0.44166666666666665,0.4416666666666667,5.551115123125783e-17
2,1090,2,120,5,115,4,4,1.25,28.75,0.8,0.034782608695652174,0.041666666666666664,0.041666666666666664,0.0
2,2575,1,120,120,0,1,0,120.0,,0.008333333333333333,,1.0,,
2,2575,2,120,120,0,1,0,120.0,,0.008333333333333333,,1.0,,
2,5050,1,120,69,51,28,28,2.4642857142857144,1.8214285714285714,0.40579710144927533,0.5490196078431373,0.575,0.575,0.0
2,5050,2,120,78,42,34,34,2.2941176470588234,1.2352941176470589,0.4358974358974359,0.8095238095238095,0.65,0.65,0.0
2,7525,1,120,115,5,5,4,23.0,1.25,0.043478260869565216,0.8,0.9583333333333334,0.9484536082474228,0.009879725085910618
2,7525,2,120,120,0,1,0,120.0,,0.008333333333333333,,1.0,,
2,9010,2,120,115,5,2,2,57.5,2.5,0.017391304347826087,0.4,0.9583333333333334,0.9583333333333333,1.1102230246251565e-16
3,1090,1,120,2,118,2,2,1.0,59.0,1.0,0.01694915254237288,0.016666666666666666,0.016666666666666666,0.0
3,1090,2,120,2,118,2,2,1.0,59.0,1.0,0.01694915254237288,0.016666666666666666,0.016666666666666666,0.0
3,2575,1,120,33,87,19,18,1.736842105263158,4.833333333333333,0.5757575757575757,0.20689655172413796,0.275,0.26435246995994666,0.010647530040053366
