Participant,Condition,Session,Lambda_1,Lambda_2,Observed_Prop_1,Type,Predicted_Prop_1
1,1090,1,0.1627906976744186,0.02127659574468085,0.11559139784946236,Saccades,0.11559139784946237
1,1090,2,0.04013377926421405,0.039039039039039033,0.47310126582278483,Saccades,0.49308638843080044
1,2575,1,0.07164179104477611,0.1393939393939394,0.67,Saccades,0.6605229318474068
1,2575,2,0.0948905109489051,0.14124293785310735,0.6075388026607539,Saccades,0.5981487949703109
1,5050,1,0.08275862068965517,0.054187192118226604,0.4166666666666667,Saccades,0.3956834532374101
1,5050,2,0.03197674418604651,0.1639344262295082,0.8493827160493828,Saccades,0.8367793724154707
1,7525,1,0.07605633802816901,0.14917127071823205,0.6623134328358209,Saccades,0.6623134328358209
1,7525,2,0.06793478260869565,0.2201834862385321,0.7714884696016772,Saccades,0.7642121657869689
1,9010,2,0.03257328990228013,0.22499999999999998,0.8847262247838616,Saccades,0.8735377805880492
2,1090,1,0.020270270270270268,0.016853932584269662,0.4539877300613497,Saccades,0.4539877300613497
2,1090,2,0.3076923076923077,0.016194331983805668,0.05,Saccades,0.05
2,5050,1,0.1958041958041958,0.23333333333333334,0.5437262357414449,Saccades,0.5437262357414449
2,5050,2,0.14782608695652175,0.2857142857142857,0.6590257879656161,Saccades,0.659025787965616
2,7525,1,0.018518518518518517,0.10526315789473684,0.8766233766233766,Saccades,0.8503937007874016
2,9010,2,0.006172839506172839,0.2,0.9700598802395209,Saccades,0.9700598802395209
3,1090,1,0.2857142857142857,0.00641025641025641,0.0219435736677116,Saccades,0.021943573667711602
3,1090,2,0.3333333333333333,0.005681818181818182,0.01675977653631285,Saccades,0.016759776536312852
3,2575,1,0.1610169491525424,0.0627177700348432,0.291358024691358,Saccades,0.28032202718754123
3,2575,2,0.16666666666666666,0.0776255707762557,0.3177570093457944,Saccades,0.3177570093457944
3,5050,1,0.11764705882352941,0.08695652173913043,0.425,Saccades,0.425
3,7525,1,0.04276315789473684,0.24,0.8587570621468926,Saccades,0.8487668683108422
3,7525,2,0.047244094488188976,0.12765957446808512,0.7298850574712644,Saccades,0.7298850574712644
3,9010,1,0.010443864229765013,0.25,0.9696202531645569,Saccades,0.9598997493734336
3,9010,2,0.008746355685131196,0.16666666666666666,0.9661971830985916,Saccades,0.9501385041551247
4,1090,1,0.36363636363636365,0.011730205278592375,0.03125,Saccades,0.03125
4,1090,2,0.4,0.012345679012345678,0.029940119760479042,Saccades,0.02994011976047904
4,2575,1,0.2577319587628866,0.0929368029739777,0.2650273224043716,Saccades,0.26502732240437155
4,2575,2,0.20289855072463767,0.22580645161290322,0.5267175572519084,Saccades,0.5267175572519084
4,2575,3,0.3333333333333333,0.17277486910994763,0.3344947735191638,Saccades,0.3413793103448276
4,2575,4,0.45714285714285713,0.05517241379310345,0.1076923076923077,Saccades,0.10769230769230768
4,5050,1,0.0273224043715847,0.3214285714285714,0.9289340101522843,Saccades,0.9216564073866816
4,5050,2,0.006109979633401223,0.2222222222222222,0.982,Saccades,0.9732408325074331
4,7525,1,0.020512820512820513,0.25,0.9330143540669856,Saccades,0.9241706161137442
4,7525,2,0.07280513918629551,0.19075144508670522,0.7296875,Saccades,0.723758981825013
4,7525,3,0.11249999999999999,0.33766233766233766,0.7570977917981072,Saccades,0.7500901550667147
4,9010,1,0.012121212121212121,0.3333333333333333,0.9734513274336283,Saccades,0.9649122807017543
4,9010,2,0.008645533141210374,0.3333333333333333,0.9830028328611898,Saccades,0.9747191011235955
1,1090,1,0.7285974499089253,0.11914335924701397,0.14054220105982643,Fixations,0.14054220105982643
1,1090,2,0.5977850490812988,0.5112474437627811,0.44826808078528707,Fixations,0.46098509021291406
1,2575,1,0.5706948209444999,0.6855643983427226,0.5562477679457164,Fixations,0.5457188992664259
1,2575,2,0.6722167640519159,0.6747820453993361,0.5107557410170744,Fixations,0.5009522210893658
1,5050,1,0.4156807571784869,0.2838758516275549,0.42523046800641773,Fixations,0.40579396728458605
1,5050,2,0.2377773306751047,1.0879419764279241,0.8321233429219368,Fixations,0.8206427790550193
1,7525,1,0.5002587545282042,0.8016364440513045,0.6157457565908271,Fixations,0.6157457565908269
1,7525,2,0.4894043948514657,1.1856091578086672,0.714782121993027,Fixations,0.7078206357947195
1,9010,1,0.06555657532450504,0.3216209696872236,0.8597968593233907,Fixations,0.8306808435325991
1,9010,2,0.1970692980110077,1.3148578942045108,0.8778296757611705,Fixations,0.8696568862405138
2,1090,1,0.031793469621339776,0.05017645386275067,0.6121324960427642,Fixations,0.6121324960427641
2,1090,2,1.0712372790573113,0.04271587535507572,0.038346204403549126,Fixations,0.038346204403549126
2,5050,1,0.4260132504811011,0.44177685698616787,0.5090826147759822,Fixations,0.5090826147759822
2,5050,2,0.6851217479862974,1.0393258426966292,0.6027007421460858,Fixations,0.6027007421460856
2,7525,1,0.09708266589000535,0.9703504043126686,0.9173940149625934,Fixations,0.9090503483543261
2,7525,2,0.022052175447107858,5.434782608695652,0.9979753075551839,Fixations,0.9959587973029365
2,9010,1,0.03509449191949323,0.5640953321111268,0.9414300935829982,Fixations,0.9414300935829981
2,9010,2,0.018215765745252514,0.5128205128205129,0.9656976999868069,Fixations,0.9656976999868068
3,1090,1,2.6155187445510033,0.033540164346805304,0.012661162133521723,Fixations,0.012661162133521722
3,1090,2,2.3866348448687353,0.030133491366754726,0.012468506358243895,Fixations,0.012468506358243895
3,2575,1,0.8504486116426414,0.31655587211142766,0.28151260504201686,Fixations,0.27125506072874495
3,2575,2,0.6338474540460596,0.292392911096311,0.3156771418090462,Fixations,0.3156771418090464
3,5050,1,0.5561219760867551,0.43195766814852143,0.4371688766879058,Fixations,0.4371688766879058
3,5050,2,0.5104471517048935,0.43719032352083936,0.4613476513438834,Fixations,0.46134765134388345
3,7525,1,0.16142651368400138,0.9735518416355672,0.8672596868336601,Fixations,0.8577712844237021
3,7525,2,0.18622240685298458,0.5317843409964821,0.7406397538592119,Fixations,0.7406397538592117
3,9010,1,0.057954216169226316,1.678556441460344,0.973121432922015,Fixations,0.9666260521266613
3,9010,2,0.03280122457905096,0.6740815638692282,0.9685789022207631,Fixations,0.9535973642093409
4,1090,1,2.3223409196470044,0.06725582771747171,0.02814526249738548,Fixations,0.028145262497385477
4,1090,2,1.6915703411333523,0.07620499142693846,0.04310784861816679,Fixations,0.043107848618166786
4,2575,1,1.0982306284319707,0.4530277353646873,0.29203886724318157,Fixations,0.2920388672431816
4,2575,2,1.2396112128468797,1.190379568757947,0.48986999365149475,Fixations,0.4898699936514947
4,2575,3,0.9476708028548584,0.5171846349146645,0.34606555024904173,Fixations,0.35306189374028674
4,2575,4,1.266577261212934,0.2523378358319727,0.16613030993167638,Fixations,0.1661303099316764
4,5050,1,0.13837000138369998,1.4442518775274409,0.9198805845801367,Fixations,0.912569134025305
4,5050,2,0.06021194605009634,1.0380622837370241,0.9583104930613658,Fixations,0.9451758546116782
4,7525,1,0.09640206086183443,1.087104226117679,0.9269346095037629,Fixations,0.9185453749401983
4,7525,2,0.9817448524729356,1.3559832762062602,0.586702367794262,Fixations,0.5800431879015733
4,7525,3,0.3358292494838179,1.3328548726098324,0.8047445072819179,Fixations,0.7987460628183706
4,9010,1,0.06644150379270251,2.7262813522355507,0.9800952908106231,Fixations,0.9762090593238478
4,9010,2,0.03303891984758044,1.3486176668914363,0.9839302161781439,Fixations,0.9760874589498691
